minimum_nights,amenity_score,number_of_reviews,availability_365,price_class,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Unknown,room_type_Private room,room_type_Shared room,room_type_Unknown
-0.20644375020254327,0.684140196598872,-0.3607222583484656,-0.8486301819965778,1,False,True,False,False,False,False,False,False
-0.2599790317196787,-0.8842502821037961,3.6991133392441755,0.7054651830249997,1,False,True,False,False,False,True,False,False
-0.20644375020254327,0.42447289880041705,4.292123033274561,0.9121675222150617,1,False,True,False,False,False,False,False,False
-0.09937318716827241,-0.100055042752462,-0.1554496719533321,-0.73379554911321,1,True,False,False,False,False,False,False,False
-0.2599790317196787,0.2998325958571584,1.1446100418825134,-0.5194375677309234,1,True,False,False,False,False,False,False,False
-0.2599790317196787,1.307341711315164,-0.08702547648828758,0.5217297704116112,2,False,True,False,False,False,False,False,False
0.11476793890026926,-0.07408831297261652,-0.2922980628834211,-0.8486301819965778,1,True,False,False,False,False,False,False,False
-0.09937318716827241,-1.1179508501224056,-0.31510612803843596,-0.8486301819965778,1,False,True,False,False,False,False,False,False
-0.20644375020254327,0.704913580422748,-0.3607222583484656,-0.7644181178821081,1,False,True,False,False,False,False,False,False
1.2390088507601131,0.014198568278857949,-0.2922980628834211,-0.6419278428065157,1,True,False,False,False,False,False,False,False
-0.20644375020254327,1.4319820142584219,0.8709132600223354,-0.5194375677309234,2,True,False,False,False,False,False,False,False
-0.3135143132368141,0.04016529805870345,2.695558472423522,0.4068951375282434,1,False,False,True,False,False,False,False,False
-0.3135143132368141,-0.7596099791605377,-0.4747625841235398,-0.5500601364998216,1,False,True,False,False,False,True,False,False
0.007697375865998424,1.5410422793337735,-0.3379141931934508,-0.8486301819965778,2,False,True,False,False,False,False,False,False
0.007697375865998424,0.704913580422748,0.7568729342472612,0.5906305501416319,1,True,False,False,False,False,False,False,False
-0.20644375020254327,1.2138614841077202,0.391943891767024,1.2872939896340632,2,True,False,False,False,False,False,False,False
-0.20644375020254327,0.5646932396115826,-0.17825773710834691,-0.5806827052687196,1,True,False,False,False,False,False,False,False
-0.3135143132368141,-0.349335648638979,-0.5203787144335694,-0.8486301819965778,1,False,True,False,False,False,True,False,False
-0.15290846868540783,0.7724270778503469,-0.5203787144335694,0.34564999999044727,2,True,False,False,False,False,False,False,False
-0.20644375020254327,-0.17276188613602933,-0.5203787144335694,-0.8486301819965778,1,True,False,False,False,False,True,False,False
-0.20644375020254327,2.1278903723582814,-0.5203787144335694,-0.8486301819965778,3,False,True,False,False,False,False,False,False
-0.3135143132368141,-0.3960757622427008,-0.5203787144335694,1.2490157786729406,1,False,False,False,False,True,True,False,False
-0.3135143132368141,-1.237397807109695,-0.5203787144335694,1.8385002274742286,1,False,True,False,False,False,True,False,False
-0.15290846868540783,0.2738658660773129,-0.3379141931934508,-0.8486301819965778,2,False,True,False,False,False,False,False,False
0.007697375865998424,0.4296662447563859,-0.4975706492785546,-0.8486301819965778,1,True,False,False,False,False,False,False,False
-0.20644375020254327,0.6789468506429025,-0.4975706492785546,0.33799435779822273,2,False,True,False,False,False,False,False,False
-0.2599790317196787,-0.17276188613602933,2.6727504072685075,-0.12899981592747295,1,True,False,False,False,False,False,False,False
-0.2599790317196787,0.2894459039452204,-0.5203787144335694,1.8538115118586778,1,True,False,False,False,False,False,False,False
1.2390088507601131,1.4994955116860207,-0.45195451896852495,1.8920897228198001,2,False,True,False,False,False,False,False,False
-0.20644375020254327,-1.3360713802731077,3.242952036143879,1.2337044942884916,0,True,False,False,False,False,True,False,False
-0.20644375020254327,-1.8917593975618012,-0.17825773710834691,1.945679218165372,0,True,False,False,False,False,True,False,False
0.1683032204174047,-0.2506620754755658,-0.4747625841235398,-0.8486301819965778,1,False,True,False,False,False,True,False,False
-0.3135143132368141,0.9593875322652341,-0.24668193257339144,0.49110720164271315,2,True,False,False,False,False,False,False,False
0.007697375865998424,0.024585260190796297,1.6920036056028696,1.5169632554007988,1,False,True,False,False,False,False,False,False
-0.2599790317196787,-0.19872861591587482,-0.4747625841235398,-0.8486301819965778,1,True,False,False,False,False,True,False,False
-0.2599790317196787,-1.3412647262290769,1.5551552146727805,-0.25149009100306524,0,True,False,False,False,False,True,False,False
-0.2599790317196787,-0.058508275104709365,-0.4747625841235398,-0.6495834849987403,1,False,False,False,False,False,False,False,False
-0.15290846868540783,0.4192795528444479,-0.3607222583484656,-0.8486301819965778,1,False,True,False,False,False,False,False,False
-0.3135143132368141,-0.453202567758361,0.9165293903323651,1.7619438055519834,1,False,False,True,False,False,True,False,False
0.1683032204174047,-1.1179508501224056,0.23228743568192012,1.210737567711818,1,True,False,False,False,False,False,False,False
0.007697375865998424,1.115187910944307,-0.5203787144335694,-0.8486301819965778,2,False,True,False,False,False,False,False,False
-0.3135143132368141,-1.8398259380021103,0.07263097959681626,-0.6725504115754138,0,True,False,False,False,False,False,True,False
-0.20644375020254327,-0.9050236659276724,-0.4975706492785546,-0.5194375677309234,1,True,False,False,False,False,True,False,False
-0.2599790317196787,0.11806548739823994,0.391943891767024,1.034657797290654,1,False,False,False,False,False,True,False,False
-0.3135143132368141,0.10248544953033278,-0.2922980628834211,-0.021820825236329673,1,False,True,False,False,False,True,False,False
-0.09937318716827241,0.6997202344667792,-0.38353032350348043,-0.8486301819965778,1,False,True,False,False,False,True,False,False
0.2753737834516755,0.38811947710863326,-0.42914645381351013,-0.8486301819965778,1,False,True,False,False,False,False,False,False
-0.20644375020254327,0.5854666234354589,0.25509550083693494,-0.8486301819965778,1,False,True,False,False,False,False,False,False
-0.2599790317196787,0.23751244438552943,1.4183068237426915,0.047079954493691005,1,False,True,False,False,False,True,False,False
-0.3135143132368141,1.79032288522029,0.30071163114696464,0.6901538986405507,3,False,True,False,False,False,False,False,False
-0.3135143132368141,0.22193240651762192,-0.3379141931934508,-0.7950406866510061,1,False,True,False,False,False,False,False,False
